#,Startup,Stage,Industry,Company HQ,Incorporated,Type of product,Founder name,Gender,Country based in,Age,Role in the startup
1,Startup 1,Development stage,Tourism,Croatia,Yes,Hardware,Founder,Male,Croatia,28,Designer
2,Startup 2,Pre-seed stage,Maritime,Croatia,Yes,Software & hardware,Founder,Male,Croatia,53,CEO
3,Startup 3,Idea stage,Education,Canada,No,Service,Founder,Male,Canada,37,CEO
4,Startup 4,Pre-seed stage,Biotech,Croatia,Yes,Service,Founder,Female,Croatia,43,CEO
5,Startup 5,Development stage,Gaming,Croatia,No,Service,Founder,Male,Croatia,23,Developer
6,Startup 6,Development stage,Other,Croatia,Yes,Software,Founder,Male,Croatia,39,CTO
7,Startup 6,Development stage,Other,Croatia,Yes,Software,Founder,Male,Croatia,33,Business Developer
8,Startup 6,Development stage,Other,Croatia,Yes,Software,Founder,Male,Croatia,42,CEO
9,Startup 7,Series A stage,E-commerce,Croatia,Yes,Service,Founder,Male,Croatia,39,CEO
10,Startup 8,Idea stage,Other,Hungary,Yes,Software,Founder,Female,Hungary,28,CEO
11,Startup 9,Development stage,Other,Croatia,No,Software & hardware,Founder,Male,Croatia,39,CTO
12,Startup 9,Development stage,Other,Croatia,No,Software & hardware,Founder,Male,Croatia,42,CEO
13,Startup 10,Development stage,Other,Croatia,No,Software,Founder,Male,Croatia,39,CEO
14,Startup 10,Development stage,Other,Croatia,No,Software,Founder,Male,Croatia,18,Developer
15,Startup 11,Development stage,Other,Croatia,No,Software,Founder,Male,Croatia,39,CTO
16,Startup 11,Development stage,Other,Croatia,No,Software,Founder,Male,Croatia,18,Designer
17,Startup 11,Development stage,Other,Croatia,No,Software,Founder,Male,Croatia,18,Developer
18,Startup 11,Development stage,Other,Croatia,No,Software,Founder,Male,Croatia,18,Designer
19,Startup 12,Development stage,Social network,Croatia,No,Software,Founder,Male,Croatia,39,CTO
20,Startup 12,Development stage,Social network,Croatia,No,Software,Founder,Male,Croatia,18,Developer
21,Startup 12,Development stage,Social network,Croatia,No,Software,Founder,Male,Croatia,18,Designer
22,Startup 12,Development stage,Social network,Croatia,No,Software,Founder,Male,Croatia,18,Designer
23,Startup 13,Small Business,Education,Croatia,Yes,Software,Founder,Male,Croatia,39,CEO
24,Startup 14,Development stage,Cybersecurity,Croatia,No,Software,Founder,Male,Croatia,39,CTO
